t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,STAT5_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,4.39593234798434,-0.090605949760543,-0.00829476031839568,139.004390527068,-422.164461677988,6.69268928187398,0.00373905992402057,0.000342837553949207,0.000674731136368727
5,NaN,NaN,NaN,NaN,NaN,2.24247782929127,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,1269.20625385608,NaN,NaN,NaN,NaN
6,6.13760897314848,0.326398507392234,0.0871969990933077,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,-8.59111975971551,NaN,NaN,NaN,NaN,NaN
10,13.2547313970314,NaN,0.072350185649786,NaN,856.787513777759,5.55570783118191,NaN,NaN,0.002565501273315
15,NaN,0.13378850210795,NaN,52.7334012021654,174.820918620955,1.88115997459884,0.00255294649267884,0.00411954468129623,NaN
20,5.99326725983924,0.169334767910955,0.0288390613559389,NaN,NaN,1.3767351588695,NaN,NaN,NaN
25,5.61004266499272,0.204873837705253,0.0380958613165954,82.3001127076043,-51.8150072544013,NaN,0.00678683855538557,0.00707590867899605,0.00614459137690631
30,NaN,NaN,NaN,NaN,706.80269949383,6.72959198964341,NaN,NaN,NaN
35,6.73440250572516,0.153470298916724,0.0213469883985281,24.0412164418096,1548.90794948512,NaN,NaN,NaN,0.00691457102880472
40,NaN,NaN,0.0207122382784633,NaN,NaN,20.648689293344,0.00517597250720596,0.00412129003999397,NaN
45,8.79621821938453,0.0686581978710131,NaN,28.698353157337,1153.29651414206,12.0253895790213,NaN,NaN,NaN
50,NaN,NaN,0.0101622841074205,NaN,NaN,NaN,NaN,NaN,0.00656222327482239
55,6.79509259577086,0.161556233061437,NaN,43.014837982882,3297.83252747122,NaN,0.00621521351288908,0.00498959022322638,NaN
60,NaN,NaN,NaN,NaN,NaN,40.4422629887331,NaN,NaN,NaN
65,4.56904422464915,NaN,0.0198503782408667,61.5409855495048,2928.82190265077,NaN,NaN,NaN,0.00307030903825176
70,NaN,0.158928765717437,NaN,NaN,NaN,43.3866049575869,NaN,0.00348330445540997,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,0.0030640798906238,NaN,NaN
80,5.34059547793415,NaN,0.00601730871173706,83.6157714811668,3043.38038217727,NaN,NaN,NaN,0.00383351930707291
85,NaN,0.113621132707201,NaN,NaN,NaN,65.6622962719212,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00349108923811472,NaN
95,NaN,NaN,0.00996564493087864,86.6933320007165,2151.12723920639,NaN,0.00122405498362741,NaN,NaN
100,4.6664931216066,0.216321554536601,NaN,106.827097457343,1919.56891305814,NaN,0.00373938236980791,0.00211878430734983,0.00360118465082162
150,NaN,NaN,NaN,77.00934673963,789.211117076957,NaN,0.00286481054199804,0.00122272033356247,-0.000967529029234488
200,NaN,NaN,NaN,92.2509362585802,NaN,NaN,0.00236557277778404,0.000525160146431744,0.00192305684415556
