t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,STAT5_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,5.45672601531232,-0.0824994655002657,-0.00466864435317601,65.9511287717272,344.403949480266,-0.536740095530978,-0.000251329090304732,0.000218667809770313,4.95011937511743e-05
5,NaN,NaN,NaN,NaN,-660.125323277751,NaN,NaN,NaN,NaN
6,7.64330066788983,0.202314065611829,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,0.0868004436390779,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,24.5000313138723,NaN,9.89554640129281,NaN,NaN,NaN
10,9.97213057037159,0.196553556754475,NaN,NaN,-806.631795074589,NaN,-0.00039713515294889,0.00222961896478205,NaN
15,NaN,NaN,0.0504783954205818,6.5511542756674,-468.563223164759,5.50534709114025,NaN,NaN,0.00500472236501061
20,9.81179281575901,0.325773152420474,NaN,NaN,263.292432477893,NaN,NaN,NaN,NaN
25,7.67916148168532,0.331632839061492,0.0734359241161163,40.6253005218032,-196.564090747308,-10.2348311330115,0.00724366942390049,0.0088392175118799,0.00614262904786476
30,NaN,NaN,NaN,NaN,1465.2936150349,NaN,NaN,NaN,NaN
35,6.44289944828878,0.227904575346149,0.0269672466024285,0.0900930320805742,NaN,-3.48207296808409,NaN,0.0077264084690731,NaN
40,NaN,0.235096929808903,NaN,NaN,1146.84677167658,NaN,0.0059332054063325,NaN,0.00632714931389223
45,5.36216468239824,NaN,0.0191585218809615,44.1360504510512,NaN,24.5726672655622,NaN,NaN,NaN
50,NaN,0.17465125585888,NaN,NaN,2755.25183765137,NaN,NaN,0.00892473383820815,NaN
55,10.1563253816787,NaN,-0.00541093786155424,NaN,2559.25981667452,37.5380833136684,0.00589597046180438,NaN,0.00744607419894166
60,NaN,NaN,NaN,39.9352641517645,NaN,NaN,NaN,NaN,NaN
65,NaN,0.164984061436302,NaN,NaN,2690.26810436544,NaN,NaN,0.0052798103924832,NaN
70,6.3017803651458,NaN,0.0286441755385902,69.0984195819919,NaN,44.0747007810922,0.00526356211832761,NaN,0.00407534705506522
80,NaN,0.169842746314117,NaN,NaN,2036.91645714259,NaN,NaN,0.00435980044772954,NaN
85,4.77981258153212,NaN,0.0436459857655557,NaN,NaN,90.2590669443114,NaN,NaN,NaN
90,NaN,NaN,NaN,45.4197327434003,NaN,NaN,0.00470516817737595,NaN,0.00444590457027315
95,NaN,0.123601246592245,NaN,NaN,2905.92428533272,NaN,NaN,NaN,NaN
100,6.23010220936588,NaN,0.0332200923461623,96.8566608237464,1868.4482198169,106.823339140488,0.0040960020325022,0.00139477558141997,0.00436196759711796
150,NaN,NaN,0.0306854010303316,99.7087468451336,1162.48636748171,90.8983220735115,0.000469314895945641,0.000829682780879474,0.000884604121319364
200,NaN,NaN,NaN,67.5030551601919,NaN,97.9854228468923,0.00326595988461499,0.00134551729149953,-0.000872712791423404
