t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs
0,10.1030370872757,0.136526724986811,-0.000721932241477527,0.0658585034340078,0.14385419206932,-0.123526198400567,83.5052348332763,5.90522795824532,3.49033180064216
10,3.33908144542342,0.336679119945835,0.0590071307153613,0.47026032052351,1.54731311631861,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,NaN,NaN,NaN,7.72366377801976,63.0806098109076,12.0426454927456
20,11.9090528284205,0.373458574546252,0.0709213883615687,0.314354065263812,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,0.378801522397328,0.149383047258415,NaN,NaN,NaN
30,NaN,NaN,0.0565855589220706,NaN,NaN,NaN,NaN,61.7658976775017,19.1075847124176
35,11.0346552030643,0.223975688180478,NaN,0.348728184521544,NaN,NaN,7.97099522345346,NaN,NaN
40,NaN,NaN,NaN,NaN,0.263068359925046,NaN,NaN,NaN,NaN
45,7.25112147701181,0.288206973811063,0.0594247892255185,0.181043742346532,NaN,NaN,NaN,53.2792915319283,46.1125574629911
50,NaN,NaN,NaN,NaN,NaN,0.12038121613095,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,0.273038515309097,NaN,29.9590525138954,NaN,NaN
60,7.30963016099777,NaN,0.075689627077437,0.210139559292096,NaN,NaN,NaN,NaN,NaN
65,NaN,0.222504124550507,NaN,NaN,NaN,NaN,NaN,44.3549490866479,69.0372239969398
70,NaN,NaN,NaN,NaN,0.176249141112351,NaN,4.80060214789083,NaN,NaN
75,11.153461005368,NaN,0.035946591127553,0.316967151189509,NaN,NaN,NaN,NaN,NaN
80,NaN,0.265699157324972,NaN,NaN,NaN,0.12679417748428,NaN,32.5830877168645,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.6084016754179
90,5.60185322991982,NaN,NaN,NaN,0.25273501511247,NaN,NaN,NaN,NaN
95,NaN,NaN,0.0540656281615671,0.131301786313092,NaN,NaN,39.0978866736924,NaN,NaN
100,7.6171178581151,0.35067414043899,0.0482641116724439,0.194895609216389,0.201120509778084,0.0374203520327314,16.2022271958163,23.7782769825819,55.8900655235355
150,2.03822262427421,NaN,0.0587677219312532,0.158696165926035,0.0869137121311985,0.186635524552879,23.5415505390437,26.8115941051422,32.3688239438481
200,6.28720872481106,NaN,NaN,0.292707743699405,0.237699227194638,0.14472156744596,16.7945161179154,31.1382574298426,22.5177476832614
250,NaN,NaN,NaN,NaN,NaN,0.0833903815235785,31.9984870711839,30.3713200933908,22.5769218559569
300,NaN,NaN,NaN,NaN,NaN,0.136453889001707,27.9418758874598,21.06527704634,NaN
350,NaN,NaN,NaN,NaN,NaN,NaN,19.8252677712742,NaN,NaN
