t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,-0.245975623853197,0.0249858189444726,0.0269138725691311,-0.0655683804356997,86.6800221451708,-431.598733482833,146.267258761639,-336.565479767295,451.076098073645,-0.00131812629172081,0.000226399419180962,0.00137382041853248
7,NaN,NaN,NaN,NaN,NaN,NaN,-388.008487553972,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,475.20306713604,NaN,NaN,NaN,NaN
9,0.551664642091059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,284.691203912022,NaN,NaN,NaN
15,NaN,-0.0108058084988074,-0.00529833283933055,0.173850348071289,42.2292379813062,407.89884944366,-154.672558025845,259.713542027401,NaN,0.00163827605501864,0.000972686476066546,0.000445544217734602
20,0.475223933548255,NaN,NaN,NaN,NaN,NaN,368.85360127157,NaN,NaN,NaN,NaN,NaN
25,0.69783076900023,NaN,NaN,NaN,58.2027289898698,781.684344216958,NaN,-97.2055254582603,104.762370377764,NaN,NaN,NaN
30,NaN,0.0125909111465628,-0.000614757844424337,0.0840696063265416,NaN,NaN,191.553895217615,NaN,NaN,NaN,NaN,0.00485075256884937
35,0.770529304686139,NaN,NaN,NaN,NaN,NaN,NaN,1215.07475500361,NaN,0.00484044338994242,0.00374815324918203,NaN
40,NaN,NaN,NaN,NaN,77.1492488535066,2282.61242706666,2268.56372973599,NaN,221.108479735927,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,757.113077013348,NaN,NaN,NaN,NaN
50,0.463305693445947,0.0551505923569051,0.00454537961807546,0.229751661009263,NaN,NaN,2004.82751303314,NaN,NaN,NaN,NaN,0.00298542447657245
55,NaN,NaN,NaN,NaN,29.1045281920724,2357.17965782063,NaN,NaN,370.575523109586,0.0047994672164217,0.00426949434236371,NaN
60,0.421414951899772,NaN,NaN,NaN,NaN,NaN,2138.34521464596,1188.67171796882,NaN,NaN,NaN,NaN
65,NaN,0.0843327868684629,0.0372926270009939,0.163019004966959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00479714076802178
70,NaN,NaN,NaN,NaN,NaN,2088.94260229389,2589.54068918454,NaN,412.186196974681,NaN,NaN,NaN
75,0.0467475967283233,NaN,NaN,NaN,92.2615490413478,NaN,NaN,2206.35117921236,NaN,0.00493475416566824,0.00418674661035464,NaN
85,NaN,NaN,0.0727920669408811,NaN,NaN,851.650647938416,2288.05376035885,NaN,343.114298410969,NaN,NaN,0.00469652548017894
90,0.264386215885739,0.0699623312309949,NaN,0.116177710353871,84.3661873291921,NaN,NaN,2064.218086371,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00367398240834965,NaN
100,0.239209936021991,0.140582971647158,0.073023415108866,0.0765832294339134,98.3060000114278,1247.78433121883,1135.94753036115,2422.67330136467,218.632945143952,0.00397838302029216,0.00272880032127081,0.00233123006743596
150,0.256083629092856,0.121305810377312,0.0793186225068257,0.162408575060115,73.556918604172,1199.15662304842,1694.51166319642,1119.33697028665,268.458302279942,0.000806342116541994,0.00210043475058762,0.00362081666981462
200,NaN,0.196413976180752,0.100247718921787,0.112023952280884,75.0104607354584,1963.38409341076,NaN,1040.61849758432,306.749491365502,0.00240253707352281,0.00108963583580321,0.000798954510372097
250,NaN,0.124433961740926,0.0790795462979726,0.217065080278522,57.1913896414421,712.39100066402,NaN,NaN,181.374687980205,0.00237490764768388,0.00293299196895167,0.00157698347833788
300,NaN,NaN,0.0385649847740571,NaN,51.7693595430683,1600.55277979971,NaN,NaN,360.672581977546,0.000118192614828849,0.00184980653791276,0.00134488389468118
