t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,-0.0030464634803884,1.02836633619286,-1.03159255504212e-08,0.0321973342643891,-0.0330052848242594,-0.0187371039360192
0.08,NaN,0.203424550933674,NaN,NaN,NaN,NaN
0.15,NaN,0.0532387689425755,NaN,NaN,NaN,NaN
0.2,0.0851951345845649,NaN,NaN,NaN,0.697296833474078,NaN
0.25,NaN,-0.0112742068644273,NaN,NaN,NaN,NaN
0.3,NaN,NaN,NaN,NaN,NaN,0.201897484978202
0.35,0.0691581937349015,-0.00265615459095693,1.64797712639487e-06,NaN,NaN,NaN
0.4,NaN,NaN,NaN,0.275578938827959,0.550951293679475,NaN
0.45,NaN,-0.0179267012318183,NaN,NaN,NaN,NaN
0.55,0.0547386940688885,NaN,NaN,NaN,NaN,NaN
0.6,NaN,-0.00729258438075588,NaN,NaN,0.391974100217717,0.238850575735024
0.75,0.0482281527527159,-0.00654585116477231,9.41009030963302e-07,NaN,NaN,NaN
0.8,NaN,NaN,NaN,0.281018827597825,0.425699764143456,NaN
0.9,NaN,0.0145240915208267,NaN,NaN,NaN,NaN
0.95,NaN,NaN,NaN,NaN,NaN,0.248230689222303
1,0.0475189419633333,NaN,6.43190864852003e-07,0.408562395702129,0.345857160415119,NaN
1.5,0.0444632483018908,NaN,2.70702045564754e-07,0.372683153200447,0.324466841340506,0.270957744858728
2,0.0440245876506587,NaN,1.79716957505852e-07,NaN,0.358668720499537,0.273957588123777
2.5,0.0428366806174234,NaN,1.48727802444885e-09,0.438287219869107,0.387508190843086,0.243043574113511
3,0.0375220828410008,NaN,6.19117009643648e-08,0.44562628592353,0.317427040271817,0.296837234255977
3.5,NaN,NaN,NaN,0.354931655209235,0.341564306958498,NaN
4,NaN,NaN,-2.10713680246474e-09,NaN,NaN,NaN
5,NaN,NaN,6.21503868450549e-08,NaN,NaN,NaN
6,NaN,NaN,-3.897464409324e-08,NaN,NaN,NaN
