t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,-0.000151254988603778,0.974137804769349,3.86439250386951e-08,-0.00447635774086694,0.000230806076798648,-0.0342299814111786
0.1,NaN,0.0255647633308252,NaN,NaN,NaN,NaN
0.15,NaN,NaN,NaN,NaN,0.774786741054547,NaN
0.2,0.0034017011098599,0.01200472680094,NaN,NaN,NaN,NaN
0.3,NaN,-0.000508176896163209,7.68046465478258e-07,NaN,NaN,NaN
0.35,NaN,NaN,NaN,NaN,0.61271426910995,0.436576978235015
0.45,0.0022945853351491,-0.00509333180445387,NaN,NaN,NaN,NaN
0.55,NaN,NaN,5.35600283072125e-07,NaN,0.372094422421972,NaN
0.6,NaN,-0.00606514914771947,NaN,NaN,NaN,NaN
0.65,NaN,NaN,NaN,NaN,NaN,0.61369069801719
0.7,0.00215307267190243,NaN,NaN,NaN,NaN,NaN
0.75,NaN,0.00643571871438426,NaN,NaN,0.449691873748382,NaN
0.85,NaN,NaN,3.54432504044414e-07,NaN,NaN,NaN
0.95,0.00187387168362673,-0.00341327712975268,NaN,NaN,0.337943522899712,NaN
1,0.00173347077844277,0.000284615422328821,2.81508923506874e-07,NaN,0.322149524740148,0.661201553912873
1.5,0.00156082117054711,NaN,1.31873260483374e-07,NaN,0.311620840360688,0.566927386139619
2,0.00192580973072884,NaN,6.95891205575115e-08,NaN,0.388184026399509,0.587655741100615
2.5,0.0016108591004238,NaN,1.85501657478133e-08,NaN,0.350074026952853,0.648536051335147
3,0.00168725239329562,NaN,1.26141327853648e-08,NaN,0.322746825126197,NaN
3.5,0.00177730950847352,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,3.37587202190809e-09,0.01809148288892,NaN,NaN
4.5,NaN,NaN,7.5843487853503e-09,NaN,NaN,NaN
8.5,NaN,NaN,NaN,0.0177318850087087,NaN,NaN
15,NaN,NaN,NaN,0.0146828153870459,NaN,NaN
20,NaN,NaN,NaN,0.0178450427201635,NaN,NaN
