t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.00206072204113534,0.997518287296728,6.15463802120856e-09,-0.00440837524716841,-0.00832235766242866,-0.0465752118624827
0.09,NaN,0.0130763609691035,NaN,NaN,NaN,NaN
0.2,NaN,-0.00374880351581827,NaN,NaN,NaN,NaN
0.25,0.0223247366728812,NaN,NaN,NaN,0.619465026434541,NaN
0.3,NaN,-0.0160758795323761,6.49061619687821e-07,NaN,NaN,NaN
0.4,NaN,-0.0105891075929977,NaN,0.060792393563878,NaN,0.395366220257188
0.45,NaN,NaN,NaN,NaN,0.554410499819219,NaN
0.5,0.0165262805137209,NaN,NaN,NaN,NaN,NaN
0.55,NaN,0.0185022902604955,4.68007316073106e-07,NaN,NaN,NaN
0.7,NaN,0.0150503532947326,NaN,NaN,0.415438223015767,NaN
0.8,0.0132856089897416,NaN,NaN,0.0898366546373742,NaN,NaN
0.85,NaN,0.015725591407732,2.68892273593577e-07,NaN,NaN,0.494293851610822
1,0.0121700851293002,0.00603706923596906,2.17965727056532e-07,0.107581328692599,0.379945918113834,NaN
1.5,0.0123372663174267,NaN,8.58517428345336e-08,0.106730065516501,0.408506185587458,0.531287620506007
2,0.0134515302872914,NaN,3.17264843277941e-08,0.128196163883567,0.317273047772369,0.498497856843527
2.5,0.0138317250184744,NaN,2.6627044517979e-08,0.124375371422234,0.436316202792123,0.498885068841405
3,0.0126466744943468,NaN,-1.16428133202787e-08,NaN,0.330967923256811,0.405399915779708
3.5,0.014066888357089,NaN,1.29416469854698e-08,0.109023758404906,0.36370572794933,NaN
4,0.0123337648416899,NaN,NaN,0.103886297022458,NaN,NaN
4.5,NaN,NaN,2.55440060779828e-08,NaN,0.412976000552881,NaN
5,NaN,NaN,NaN,0.102976398308411,NaN,NaN
6,NaN,NaN,NaN,0.123727276272575,NaN,NaN
7,NaN,NaN,NaN,0.116504881184533,NaN,NaN
