t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,-0.000705886223726201,0.976771847364916,1.69477772870209e-08,-0.00321549863304546,-0.00760437549165552,-0.00214923921384613
0.095,NaN,0.040676081709126,NaN,NaN,NaN,NaN
0.2,0.0791511363454912,-0.0112404894401275,NaN,NaN,0.624815952871668,NaN
0.3,NaN,-0.0028908102489059,NaN,NaN,NaN,NaN
0.35,NaN,NaN,9.91726620375244e-07,0.153098865835429,0.508382231357974,NaN
0.45,0.0603124622838942,0.0113517129489531,NaN,NaN,NaN,0.205706879481411
0.55,NaN,0.00775366053498234,NaN,NaN,0.432226276416106,NaN
0.65,NaN,NaN,6.1616521541311e-07,NaN,NaN,NaN
0.7,0.053067049908696,0.0139657576196915,NaN,0.348716282864165,NaN,NaN
0.75,NaN,NaN,NaN,NaN,0.374494537175947,NaN
0.9,NaN,-0.00450364805919267,NaN,NaN,NaN,0.277130861849036
0.95,0.0383784890753824,NaN,NaN,NaN,NaN,NaN
1,0.0449329528410817,-0.00128286959479464,3.84893872319228e-07,0.340364525633111,0.321405959402577,NaN
1.5,0.0423985700905255,NaN,1.78300597071454e-07,0.368466946485777,0.245229717500715,0.249249948181014
2,0.0391103368863817,NaN,1.02424629453097e-07,0.33083332814238,0.348932865515488,0.296331672619425
2.5,0.0352728952671008,NaN,8.64343954781284e-08,0.336917649278377,0.29467830007541,0.279626491167805
3,0.0350674191369074,NaN,1.33157908973641e-08,0.418496383940266,0.293067297053255,NaN
3.5,0.0384044577665218,NaN,NaN,NaN,0.259503489807479,0.282900483464383
4,NaN,NaN,NaN,0.393265207033125,NaN,NaN
5,NaN,NaN,NaN,0.383856130079627,NaN,NaN
6,NaN,NaN,NaN,0.340278643071078,NaN,NaN
