t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,-9.57143051643269e-06,1.00026367927663,-3.48565160382256e-08,-4.17266252358575e-06,0.0184614812890594,0.0482987706797464
0.095,NaN,0.0124640838611668,NaN,NaN,NaN,NaN
0.15,0.000341418298520836,NaN,NaN,NaN,0.782570341294852,0.311566184699712
0.2,NaN,0.0041812152383226,NaN,NaN,NaN,NaN
0.25,NaN,NaN,8.91439962187536e-07,NaN,NaN,NaN
0.3,0.000239589582132285,0.0050558179112716,NaN,NaN,0.56276671311313,NaN
0.35,NaN,NaN,NaN,NaN,NaN,0.498403749931912
0.4,NaN,0.00334330754615758,NaN,NaN,NaN,NaN
0.45,NaN,NaN,NaN,NaN,0.474715094391968,NaN
0.5,0.000222932008289669,NaN,NaN,NaN,NaN,0.559909262641765
0.55,NaN,-0.00952960867769242,5.51090261666051e-07,NaN,NaN,NaN
0.65,0.000174882931005451,NaN,NaN,NaN,0.387347024247148,NaN
0.7,NaN,-0.0206884103171751,NaN,NaN,NaN,0.605279369016626
0.85,0.000176507393446696,0.00343724677434374,3.43299238081496e-07,NaN,0.366082722965185,NaN
0.95,NaN,NaN,NaN,NaN,NaN,0.635318970347177
1,0.000158747732450817,-0.00399663669820496,3.21261931488117e-07,NaN,0.284102157980835,0.595850896849403
1.5,0.000148584129719941,NaN,1.00494029644042e-07,NaN,0.352982551143614,0.673025078480947
2,0.000159145735848982,NaN,8.12857981531315e-08,NaN,0.393527356170747,NaN
2.5,0.00017309677250142,NaN,1.56776902858869e-08,NaN,0.318624823760507,NaN
3,NaN,NaN,2.36292586551514e-08,NaN,0.360545059099611,NaN
3.5,NaN,NaN,4.68247593263362e-09,NaN,NaN,NaN
4,NaN,NaN,1.02419465950439e-08,0.00157575195071324,NaN,NaN
5,NaN,NaN,1.29988719546295e-08,NaN,NaN,NaN
8.5,NaN,NaN,NaN,0.00156198006266643,NaN,NaN
15,NaN,NaN,NaN,0.0015969904100127,NaN,NaN
20,NaN,NaN,NaN,0.0016915102844023,NaN,NaN
