t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.00518339105915702,0.999810259649346,1.10361711807811e-08,0.0223754832935132,-0.0179252014768689,-0.0047868269790311
0.09,NaN,0.00391112479912728,NaN,NaN,NaN,NaN
0.15,NaN,NaN,NaN,NaN,0.544052827478625,NaN
0.2,0.139217969536886,0.00225166640250848,NaN,NaN,NaN,NaN
0.25,NaN,NaN,3.96560266558385e-07,NaN,NaN,NaN
0.3,NaN,-0.00386027658806519,NaN,0.330854007377663,NaN,NaN
0.35,NaN,NaN,NaN,NaN,0.339244224907923,0.0908127465233883
0.4,NaN,-0.0100619342745049,NaN,NaN,NaN,NaN
0.45,0.084495047350085,NaN,NaN,NaN,NaN,NaN
0.5,NaN,-0.011497388530114,2.67171778979084e-07,NaN,NaN,NaN
0.55,NaN,NaN,NaN,NaN,0.238873576745388,NaN
0.65,NaN,-0.00635053210201479,NaN,0.638517902565332,NaN,NaN
0.7,0.0739204718282938,NaN,NaN,NaN,NaN,NaN
0.75,NaN,NaN,NaN,NaN,0.271459477049724,0.107287312342244
0.8,NaN,NaN,1.7704834431554e-07,NaN,NaN,NaN
0.85,NaN,0.00647021221632788,NaN,NaN,NaN,NaN
0.95,0.0736252563459429,NaN,NaN,NaN,0.215932883448817,NaN
1,0.0714622869834474,0.0173969814029913,1.26084913925117e-07,0.559065899989038,0.273335838153016,0.114143086453377
1.5,0.0651241052218497,NaN,5.39754022127636e-08,0.559122556208664,0.21489743160634,0.0925858406983506
2,0.0548979177271726,NaN,1.96631172627836e-08,0.605296440589657,0.231668182745308,0.0982088359453682
2.5,0.070308661641004,NaN,7.46304589549871e-09,0.681937141794223,0.218431153440303,NaN
3,0.0615216690205747,NaN,4.35820978863315e-09,0.593890723593701,0.201211795270633,0.108560284246261
3.5,0.0682459224592337,NaN,4.0099791844293e-09,NaN,NaN,NaN
4,0.0598683601890803,NaN,1.67234966791491e-08,NaN,NaN,NaN
