t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.00311081420145531,0.998446861813495,-1.09360970013481e-08,0.0305042153955722,-0.0203821735800501,-0.0169356493717932
0.09,NaN,-0.0144291456450708,NaN,NaN,NaN,NaN
0.2,NaN,-0.00674474723073683,NaN,NaN,NaN,NaN
0.25,0.0695782346566536,NaN,NaN,NaN,0.516433118428943,NaN
0.3,NaN,0.0110378439981369,5.07069527359238e-07,0.205098327036899,NaN,NaN
0.35,NaN,NaN,NaN,NaN,NaN,0.183148924609679
0.4,NaN,-0.0160231897232025,NaN,NaN,NaN,NaN
0.45,NaN,NaN,NaN,NaN,0.412867866729678,NaN
0.5,0.0492168277389375,NaN,NaN,NaN,NaN,NaN
0.55,NaN,-0.0105422186152658,3.5735691789932e-07,NaN,NaN,NaN
0.65,NaN,NaN,NaN,0.382505157418692,NaN,NaN
0.7,NaN,0.0022339791573576,NaN,NaN,0.373494157722614,0.234035874137416
0.75,0.0545772334977729,NaN,NaN,NaN,NaN,NaN
0.85,NaN,NaN,2.16763043647881e-07,NaN,NaN,NaN
0.9,NaN,6.74462356038842e-05,NaN,NaN,NaN,NaN
1,0.0389989030013029,NaN,1.92484669282029e-07,0.332583400692287,0.367412341948279,0.236717400429896
1.5,0.0392311509486022,NaN,8.85647759871678e-08,0.371815516814063,0.337561764518569,0.244506165458775
2,0.0338810206128209,NaN,3.36518075035725e-08,0.397785717380465,0.3513325517434,0.221630028451024
2.5,0.0458793323313144,NaN,1.19277015801181e-08,0.392765816110813,0.269610177557442,0.234778728879838
3,0.0336871965532351,NaN,1.41389898421966e-08,0.417616774211555,0.357503842555224,NaN
3.5,NaN,NaN,NaN,NaN,NaN,0.261822588482339
4,0.0400580840343438,NaN,-9.33862153958156e-09,NaN,0.312961409841238,NaN
4.5,NaN,NaN,-4.74483673541204e-09,NaN,NaN,NaN
