t,Compound_4_Obs,Compound_8_Obs,Compound_11_Obs
0,79.8003977040943,82.0097821165729,3.49447103636135
10,119.725638036722,119.147993708774,NaN
15,NaN,NaN,7.06847264899979
20,100.593871350399,NaN,NaN
25,NaN,75.2469789932707,4.13170324621562
35,101.607232017668,NaN,NaN
40,NaN,88.1140882247149,3.9037849465852
45,101.598032248465,NaN,NaN
55,NaN,95.3691078233674,NaN
60,86.9956603015464,NaN,4.07510636443628
75,NaN,78.9164699592509,NaN
80,96.8897775617905,NaN,4.54149526444472
95,NaN,50.4110155206581,NaN
100,NaN,NaN,3.87462243173914
