t,Compound_8_Obs,Compound_11_Obs
0,65.5791718580978,4.47538587740085
30,89.5885010404437,NaN
40,NaN,68.5429798535479
60,135.910971066845,NaN
75,NaN,91.6775355070348
90,127.125861578404,NaN
100,NaN,47.9087233025299
150,106.716510197098,42.3351225955167
200,86.996433747777,32.3773923803162
250,73.2258266264218,43.9943905808161
300,63.2940179329614,28.9733810088598
350,55.0313790573293,NaN
400,NaN,30.6248268213653
450,104.399110809108,12.2633535178066
550,69.8583953791215,24.6386390329224
650,NaN,15.3380870923063
750,NaN,24.3137133025805
900,NaN,26.3751527733264
