t,STAT_Obs,pSTAT_pSTAT_Obs,npSTAT_npSTAT_Obs,nSTAT2_Obs,nSTAT3_Obs,nSTAT5_Obs
0,1.10976197282774,0.000909225204895783,0,0.00108288085404931,0,0
4.5,NaN,0.420821658989367,0.131057362840291,NaN,NaN,NaN
5,0.168188170409039,NaN,NaN,0.0600965752917143,0.0177478515496698,NaN
6.5,NaN,NaN,NaN,NaN,NaN,0.00679166813119945
9,NaN,NaN,0.325279124929152,NaN,NaN,NaN
9.5,NaN,0.155975180153656,NaN,NaN,NaN,NaN
10,0.0878083530830165,NaN,NaN,0.38316045066345,0.415465217250653,NaN
15,0.0668912489257118,0.139663153205703,0.1894118036201,0.27335342954059,0.409097245536734,0.21342620956754
20,0.147582040373421,0.104272105957241,0.0758824104909816,0.209822528127998,0.258879922344958,0.375217706952006
25,0.166285625557996,0.184815833133912,0.136276771491028,NaN,NaN,NaN
30,NaN,0.115675779635911,0.210193254550657,0.411690730071436,0.311544820820363,0.217973454353581
35,0.337728617774856,NaN,NaN,0.556243779790767,0.344332538092183,0.281104041521797
40,0.427716024856308,0.103645776672193,0.0947458416062394,NaN,NaN,NaN
45,NaN,NaN,NaN,0.145570594280271,0.125192945743648,0.10063061021955
50,0.891862829740005,0.0325713691125176,NaN,NaN,0.0784536028674686,NaN
55,NaN,NaN,NaN,0.0464460069528715,NaN,NaN
60,0.951774874234823,0.00840873551637703,NaN,NaN,NaN,0.0358759633296005
65,NaN,NaN,NaN,0.0105037624450194,0.024724734964492,NaN
70,0.967812014344345,0.00178194400907227,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.00351701563583299,0.00561840132238296
80,NaN,NaN,NaN,0.0027433087358189,NaN,NaN
85,0.847542688464747,0.00129997551971914,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,0.000574237492128815,0.0007561160072268
95,NaN,NaN,NaN,0.00101565476317048,NaN,NaN
100,1.04358995567049,NaN,NaN,NaN,NaN,NaN
