t,pSTAT5_Obs,CISHnRNA4_Obs,CISHnRNA5_Obs
0,0.631029776231162,0.0154978349981588,-0.00126184042127313
20,18.1993073462968,NaN,NaN
25,NaN,0.0523863210682073,0.0226836536583635
40,9.43418768250496,NaN,NaN
45,NaN,0.153529778911322,0.148692724544072
65,3.3566316408974,NaN,NaN
75,NaN,0.129479423305243,0.149475103511488
90,2.15653040395817,NaN,NaN
100,2.08044860787092,0.0732843921162318,0.101583303952369
150,1.6345423694697,0.0274495750721348,0.0168143980298093
200,4.63302872202938,0.0404174555224028,0.0408061361777305
250,2.57406043586162,NaN,0.0661588507246084
300,3.16944217729929,0.0450055669860196,NaN
