t,CISHnRNA4_Obs,CISHnRNA5_Obs
0,-0.0149877444691087,-0.00194883882529523
7,0.000624090570476193,NaN
10,NaN,-0.020459976675743
15,0.00032232018780674,NaN
20,0.0367850911092449,NaN
25,NaN,0.0348068868960869
30,0.0980086480526185,NaN
40,0.172955466397481,0.114878527225814
50,0.18104346410898,NaN
55,NaN,0.160446998997247
60,0.166913425476029,NaN
70,NaN,0.16568477336504
75,0.155607815961791,NaN
90,NaN,0.115190478785818
95,0.0821509099333353,NaN
100,0.0800432642649162,0.104357025668299
150,NaN,0.0362872229475873
200,NaN,0.0472881004806388
