t,epo_level,CISHnRNA4_Obs
21,2.5e-09,0.000495880505291403
21,2.5e-09,0.000528837292460021
21,2.5e-09,0.000536659746230324
21,2.5e-08,0.00803351849221962
21,2.5e-08,0.00838690995000743
21,2.5e-08,0.00874836928868643
21,1.25e-07,0.0348481241312541
21,1.25e-07,0.038098076363701
21,1.25e-07,0.0400056175460698
21,2.5e-07,0.0462109273278161
21,2.5e-07,0.0465629609120527
21,2.5e-07,0.0470180526287873
21,1.25e-06,0.0563349313490217
21,1.25e-06,0.0582240509671811
21,1.25e-06,0.0599278284196992
21,2.5e-06,0.0643435864339016
21,2.5e-06,0.0729253081383397
21,2.5e-06,0.0732203813342361
