t,CISHnRNA4_Obs,CISHnRNA5_Obs
0,0.00364806763268842,-0.00427274394398154
8.5,0.00286222177543571,NaN
10,NaN,-0.00227473115886058
15,0.008102091670368,NaN
25,0.0297895565625405,0.014383142571131
35,0.0523918970499057,0.0366655659340143
50,0.0653549425315368,0.0578090991560775
60,0.0721857321491837,NaN
65,NaN,0.066963097913304
75,0.0595652356494169,NaN
80,NaN,0.0546235204918765
90,0.0358253971167766,NaN
100,0.0341677543694574,0.0367797439806544
150,0.0184423431838104,0.0175239876238682
200,NaN,0.011479967485898
