t,epo_level,CISHnRNA4_Obs
6,0,0.000165363824662074
6,0,0.000169192292328104
6,4.2857e-08,0.000135204941341453
6,4.2857e-08,0.00017560128896272
6,1.4286e-07,0.0001672445143147
6,1.4286e-07,0.000170886383654544
6,4.2857e-07,0.000146067979631782
6,4.2857e-07,0.000167563114272101
6,1.4286e-06,0.000161136678079098
6,1.4286e-06,0.000172539279309991
6,4.2857e-06,0.000159831348047427
6,4.2857e-06,0.000169088810122692
6,1.4286e-05,0.000153970154897694
6,1.4286e-05,0.000158877326897636
6,4.2857e-05,0.000148905874301601
6,4.2857e-05,0.000151145548835518
