t,K27me0K36me1_Obs,K27me0K36me2_Obs,K27me2K36me0_Obs,K27me1K36me2_Obs,K27me2K36me1_Obs,K27me3K36me0_Obs,K27me2K36me2_Obs,K27me3K36me1_Obs,K27me2K36me3_Obs,K27me3K36me2_Obs
0,0.0327319416145182,0.337634902192147,0.00256368169935064,0.338980023197026,0.00478874004218823,0.00191534658974654,0.00830727172911887,0.00169701564349264,0.00133365068823976,0.000425837903309059
3.5,NaN,0.388969206037614,NaN,NaN,0.00581578391372238,NaN,NaN,NaN,NaN,NaN
4,0.0100108125036533,NaN,0.00358369889679693,0.347225535175604,NaN,NaN,NaN,NaN,NaN,NaN
4.5,NaN,NaN,NaN,NaN,NaN,0.00272942736816536,0.0228204640764562,0.00214635274524244,0.00242591369037063,0.000268720205238554
7,NaN,0.225729431651223,NaN,NaN,0.00401456480045992,NaN,NaN,NaN,NaN,NaN
8,0.00696647623579828,NaN,0.00230789942070855,0.378571357397265,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00172568347228173,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,0.00262881378651947,0.022089524726945,NaN,0.00276390925706718,0.000352035835340088
10,NaN,0.33205460762257,NaN,0.446924632770942,0.00476877178305481,NaN,NaN,NaN,NaN,NaN
15,0.00765079557708726,0.248532595372669,0.00327191415730314,0.421590703200042,0.00463696518162809,0.00251450192445861,0.0147054444157047,0.00192545277618894,0.00225116316994895,0.000585554205646646
20,0.00377617673945207,0.238533436485937,0.00271449598044022,NaN,0.00507448796404685,0.00280275539288167,0.0158009207582204,0.00166344254912707,0.00261882968081617,0.000480256941945001
25,0.00253556724944666,0.142044822229093,0.00198670886356072,0.560320243550794,0.00557606105125478,NaN,NaN,NaN,NaN,NaN
30,0.00233951941991987,0.169237958327763,0.00330207455202406,0.597763169064899,0.00636504905960953,0.00297243974956403,0.027024403284088,0.00149678880598548,0.00312979022822932,0.000497624976592165
35,NaN,NaN,NaN,NaN,0.00583321948156198,0.00282695842787106,0.0233729577879859,0.00212611981205309,0.0036716280862638,0.000435286487986079
40,0.00330574825202799,0.145073966878477,0.00359004303604791,0.499718837602192,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,0.00599373814011356,NaN,NaN,NaN,NaN,NaN
50,0.000817384224696848,0.0754193378145027,0.0035900927669513,0.581543838799201,0.00645660562021553,0.00331061030007172,0.0311420927898336,0.00164254940043945,0.00291791445657771,0.000606992987778161
60,0.000476339560457753,0.0584452455028372,0.00494594276809079,0.679659700883388,0.00583593531949409,0.00257135117691566,0.0385260238332291,0.00215205843813585,0.00342823128077375,0.000583571273289453
