t,dEpo_i_Obs,Compound_1_Obs
0,-0.539806999585106,706.459290358284
30,NaN,307.527623627506
35,13.741716179289,NaN
60,NaN,759.077071862377
70,33.6235295732785,NaN
95,NaN,964.823292259552
100,59.9278850090186,NaN
150,98.6712252489721,1184.15359060525
200,123.40100832675,1598.87680394113
250,156.217008103769,1710.62493596684
300,168.376934739985,1838.93240832692
350,169.405301969488,NaN
400,169.466173293119,1842.19757518052
450,NaN,1776.25998846243
500,173.950089922812,NaN
550,NaN,2028.46363201839
600,173.674342720606,NaN
650,NaN,1848.84225469939
750,183.334908566157,NaN
