t,input_il6,nSOCS3RNA2_Obs
33,0,0.0937161279744725
33,0,0.101204294026647
33,0.0005,0.105794923023344
33,0.0005,0.106335941328126
33,0.005,0.0905946090033546
33,0.005,0.0914036890262919
33,0.005,0.103400306888664
33,0.005,0.106547558120484
33,0.005,0.108461661661232
33,0.005,0.126341671267471
33,0.05,0.103378344308352
33,0.05,0.104841873842997
33,0.1,0.0923851681206545
33,0.1,0.0982872769486979
33,0.1,0.105652615592895
33,0.1,0.108927962553886
33,0.1,0.110689852901943
33,0.1,0.111437528174791
33,0.5,0.115036391688751
33,0.5,0.126407034519021
33,1,0.140889192249681
33,1,0.15616905591349
33,1,0.161120801320504
33,1,0.169577241561797
33,1,0.1704638659235
33,1,0.184714481591492
33,1,0.199747946232975
33,1,0.201274672699072
33,2.5,0.620913845873475
33,2.5,0.678767674380872
33,5,1.67584324629467
33,5,1.95858765574669
33,10,2.62031530911184
33,10,2.74816724591255
33,10,3.48424679943736
33,10,3.51045209430316
33,10,3.61610858631603
33,10,3.67794687670331
33,10,3.75994288111171
33,10,4.38798026220426
33,25,8.54817833684048
33,25,8.66402629281325
33,50,17.4181705373044
33,50,19.7589506466766
33,50,20.724674905833
33,50,21.324162093385
33,50,21.4550612988026
33,50,23.4027665502503
33,100,34.3358276197368
33,100,35.519306858279
33,100,35.6838787023272
33,100,37.5743468251758
33,100,38.7043619500067
33,100,43.6183416984382
33,200,60.8866209563714
33,200,61.8356029397955
33,200,64.7442488909846
33,200,65.3893277390373
33,200,69.2188286415528
33,200,72.116231320959
33,200,72.2730927908627
33,200,77.9107216082408
33,500,83.4867423233948
33,500,83.9450957547292
33,500,86.2561144964365
33,500,94.3531287416703
33,500,95.3428278287281
33,500,111.166991023424
