t,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,0.00111398069359427,1.20165312875021,0.00162064260236391
6.5,2241.4269618103,NaN,NaN
7,NaN,916.449092947353,NaN
15,771.125742438392,1034.52989222605,860.692201908495
20,281.904671811686,651.74452493617,NaN
30,32.5338583457975,170.93566478689,NaN
35,13.8393248231697,NaN,480.163873728364
40,NaN,28.0448569903537,NaN
45,1.58357099422758,NaN,NaN
50,NaN,5.32715599765585,72.0646126245352
55,0.176192930125849,NaN,NaN
60,NaN,1.7034099664933,NaN
65,0.0262389061500573,NaN,NaN
70,NaN,1.1532929656678,3.11416495001385
80,0.00129989914002522,NaN,NaN
85,NaN,1.03471458687862,NaN
90,NaN,NaN,0.176694477297961
95,0.00858069684826873,NaN,NaN
100,0.0650550655976477,1.15018117376626,0.0277598531423227
150,NaN,NaN,1.56302704654122
200,NaN,NaN,3.31123490039764
250,NaN,NaN,0.0918652443045641
300,NaN,NaN,1.23750767165339
350,NaN,NaN,3.00194411141606
