t,input_il6,pJAK1_pgp130_Obs
360,0.1,0.00132848016842811
360,0.1,0.00146585691593463
360,0.5,0.00194149854164759
360,0.5,0.00219336105211255
360,1,0.00245510853684686
360,1,0.00321588633892112
360,2.5,0.00344777531594436
360,2.5,0.00452897775170466
360,5,0.00443498051709762
360,5,0.00450402183206623
360,10,0.00562174197653354
360,10,0.00610242129282723
360,25,0.00839751585087126
360,25,0.0086801766832904
360,50,0.0121490322642193
360,50,0.013883876683851
360,100,0.0123673985982351
360,100,0.0152823003236659
360,500,0.00779145399588101
360,500,0.0097428917733144
