t,input_il6,nSOCS3RNA4_Obs
240,0.1,0.00014642688788921
240,0.1,0.000145852229475763
240,0.5,0.00111974822531503
240,0.5,0.00097238894208678
240,1,0.00367823422497592
240,1,0.00388819952997178
240,2.5,0.0867908376459977
240,2.5,0.0953633878122165
240,5,0.422199392817415
240,5,0.499908995087804
240,10,0.0222855053046885
240,10,0.0235480321552652
240,25,0.167414398573856
240,25,0.166076131595695
240,50,0.051647562920782
240,50,0.0476857588780913
240,100,0.315520355160185
240,100,0.314219434323748
240,500,0.296077280554167
240,500,0.293942456882694
