t,input_ruxolitinib,nSOCS3RNA2_Obs
22,0,0.0013614269406466
22,10,0.0013544821378427
22,50,0.00092403554308866
22,100,0.000544105241623007
22,100,0.000767268951808497
22,200,0.000367252259270151
22,200,0.000398374481211111
22,200,0.000451410665652203
22,200,0.000497049045709278
22,400,0.00028759054304184
22,500,0.000248273284992251
22,600,0.000195848028257896
22,800,0.000163795021289626
22,1000,0.000146845150978569
22,2000,0.000139349175955829
22,5000,0.00014836965340836
22,5000,0.000149095797177154
22,5000,0.000160812136833489
22,5000,0.000167692609083423
