t,input_il6,nSOCS3RNA2_Obs
2400,0.1,0.00308133072741676
2400,0.1,0.00329438432809382
2400,0.5,0.0128690562471128
2400,0.5,0.0132169110449875
2400,1,0.0181363922386404
2400,1,0.0234383812557645
2400,2.5,0.0593020303044452
2400,2.5,0.0643456250940643
2400,5,0.0927359812554358
2400,5,0.123070696620517
2400,10,0.167565460579287
2400,10,0.172581527184036
2400,25,0.273466836937141
2400,25,0.314969867689136
2400,50,0.383875284839782
2400,50,0.438880846242133
2400,100,0.102917105431589
2400,100,0.110565818131992
2400,500,1.26821931896647
2400,500,1.70405330649167
