t,input_il6,nSOCS3RNA1_Obs
45,0,1.60113974349624e-06
45,0,1.63930377550044e-06
45,0.5,1.82511773244075e-05
45,0.5,2.07335554932671e-05
45,1,7.45202828319114e-05
45,1,9.89513018220927e-05
45,2.5,0.000768659103707513
45,2.5,0.000826376874989991
45,5,0.00434274634254428
45,5,0.005439494780688
45,10,0.0231711517007613
45,10,0.0258694227633907
45,25,0.151384632105524
45,25,0.153206170052113
45,50,0.136811595348598
45,50,0.15730078171793
45,100,0.0560184425522358
45,100,0.0708017411781593
45,500,0.0418784761463777
45,500,0.046250658792782
