t,input_il6,pJAK1_pgp130_Obs
0,2.5,0.00103582882036427
0,2.5,0.000893192064509708
0,2.5,0.000959747362574333
0,2.5,0.000821221189429216
0,2.5,0.00103788605376182
0,10,0.000967807515001546
0,10,0.00120908484357715
0,10,0.00116289861114733
0,10,0.0010313010474528
0,10,0.000855368744767581
0,60,0.000939359968425963
0,60,0.000777465817995144
0,60,0.000877685531667556
0,60,0.0009459922382162
0,60,0.00104166362923849
0,120,0.000927780361504481
0,120,0.000784562693692734
0,120,0.00089530707702715
0,120,0.00120174591153765
0,120,0.00105832904264208
