t,PKDDAGa_Obs,PI4K3Ba_Obs,CERTERa_Obs,CERT_Obs
0,138.152791117559,275852.015293184,41165954.4890786,167650.676578415
3,103.499805220135,302533.165429418,NaN,NaN
3.5,NaN,NaN,117066415.821641,460479.472169787
6,142.517933863936,275301.554851978,NaN,NaN
7,NaN,NaN,193270596.442363,797668.446275052
9,205.941123111007,NaN,NaN,NaN
9.5,NaN,482262.527889349,NaN,NaN
10,196.79611702937,NaN,206102634.368382,2244566.78509092
15,301.419345050332,601507.511515419,240970197.568133,3426948.27540368
20,409.455656829941,568392.263426045,396792894.726398,6448043.33030147
25,235.579907956236,638191.426962635,184601057.082007,4525789.1549162
30,338.894929520859,753881.42409231,287327511.158982,7890947.14561125
35,466.782967310769,NaN,408582845.192945,9819854.31151726
40,NaN,616865.687893428,NaN,NaN
45,306.533995209174,974135.501784576,399979502.833565,13859237.5051612
55,509.555846540707,610437.888159836,366400292.826261,10895634.6966553
65,388.96316297804,717005.427426088,516243366.528805,7134271.33156623
