t,pApA_Obs,pBpB_Obs,nucpApB_Obs,Compound_1_Obs
0,4.34624385373014e-08,1.82918530834312e-08,-2.13558383477769,207.436189171306
15,2.96640112828005e-06,1.08703494808798e-06,NaN,NaN
25,NaN,NaN,12.404190546348,309.532219724484
35,1.01645050286421e-06,2.90013683348309e-07,NaN,NaN
45,NaN,NaN,38.9186213038369,NaN
55,7.45849274058857e-07,1.99839653323757e-07,NaN,288.432065753613
70,NaN,NaN,52.2758217398969,NaN
75,5.99222554288543e-07,1.0722620560676e-07,NaN,NaN
85,NaN,NaN,NaN,332.342475543173
100,5.35126828422041e-07,1.09866739963737e-07,80.3170679203128,234.472850263074
150,2.66848142436515e-07,4.94499701689724e-08,68.4316761588075,280.227469696454
200,NaN,NaN,78.6833810650575,273.084585509299
250,NaN,NaN,109.123675143759,315.769510537424
300,NaN,NaN,103.162542764069,296.580845291417
350,NaN,NaN,97.7396307383793,NaN
400,NaN,NaN,96.2424655878294,239.97573750192
450,NaN,NaN,NaN,268.33068438779
500,NaN,NaN,104.49998615266,NaN
550,NaN,NaN,NaN,314.406764014118
650,NaN,NaN,NaN,125.725063368336
