t,IPR_A_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.0151455577594431,-0.036104783339962,1.12221936058085,1.03616171377131,1.01901504681683,1.03364596492995
0.15,NaN,NaN,NaN,NaN,0.183741185140279,NaN
0.2,0.853306385468654,0.115042566435959,NaN,0.98087605088944,NaN,0.838493139068403
0.25,NaN,NaN,0.987415502162614,NaN,NaN,NaN
0.3,NaN,NaN,NaN,NaN,0.283070670457997,NaN
0.35,0.78959919527005,NaN,NaN,1.06039370927383,NaN,NaN
0.4,NaN,0.250557665645956,NaN,NaN,NaN,0.694528635203941
0.5,NaN,NaN,1.04454851291345,NaN,0.312628661547975,NaN
0.55,0.644676657068976,NaN,NaN,1.04538105686995,NaN,NaN
0.65,NaN,0.321615163965381,NaN,NaN,0.346574689372112,0.645870952664876
0.75,NaN,NaN,NaN,0.985382586674052,NaN,NaN
0.8,0.688305459714826,NaN,0.997315852459527,NaN,NaN,NaN
0.85,NaN,NaN,NaN,NaN,0.362779149037061,0.688591484679064
0.9,NaN,0.326838681258227,NaN,NaN,NaN,NaN
1,0.671184072969471,0.353506390051865,0.884215739765042,0.941737251275806,0.382664632128687,0.634717516003539
1.5,0.606907405188662,0.389351025284072,1.01011516142475,1.02152638317745,0.41392716631928,0.537545941382267
2,0.555881973638961,0.42143039323712,1.02708465290485,0.961332509105962,0.427497914228084,0.569697021712148
2.5,0.575712760031586,0.394478306648816,NaN,1.04856392269414,0.452158767770089,0.693742548988337
3,0.508929724158493,0.390196045255806,NaN,0.966456424324202,0.462302083515889,0.623204063627448
3.5,0.588044126821365,NaN,NaN,NaN,NaN,0.602903422007143
4,NaN,0.431686405223796,NaN,NaN,NaN,0.620698279853618
