t,IPR_A_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.0129461938637299,0.0153395838370576,0.986309128276416,1.00851928312776,0.975544174898813,0.979283246037276
0.15,NaN,0.112696274746589,0.982570659614198,1.03321689792062,NaN,NaN
0.2,0.853181884402533,NaN,NaN,NaN,0.119188942603457,0.912779085083637
0.35,NaN,0.282487204664837,1.00716022125202,1.03981559551808,0.26804523493947,NaN
0.4,0.706659526003783,NaN,NaN,NaN,NaN,0.653207542872447
0.5,NaN,0.352632920891485,NaN,NaN,NaN,NaN
0.55,NaN,NaN,1.08876019110151,0.877627999800636,0.313050244885423,NaN
0.6,0.689462694483799,NaN,NaN,NaN,NaN,0.64871998268006
0.7,NaN,0.372362450121774,NaN,NaN,NaN,NaN
0.75,NaN,NaN,1.08637453177763,1.04032174217485,0.387139901166872,NaN
0.8,0.623637548127047,NaN,NaN,NaN,NaN,NaN
0.85,NaN,NaN,NaN,NaN,NaN,0.617391990591018
0.9,NaN,0.350458260437352,NaN,NaN,NaN,NaN
0.95,NaN,NaN,0.980487615573615,1.00525004781458,NaN,NaN
1,0.599222796023171,0.415768509375105,1.00936082518182,1.120221359159,0.420285889039464,0.61252368142482
1.5,0.609619980739391,0.439965967156486,0.884198229963406,0.969442070814956,0.462887358760084,0.511931795361456
2,0.582463545557358,0.459269514538182,NaN,0.901196259430649,0.490132862880907,0.51827933236212
2.5,0.528694697892158,0.447000882416127,NaN,0.995914604683607,0.42356968366959,0.52819581089195
3,0.566345632543588,0.520022735088266,NaN,NaN,0.43048206198524,0.574000332693344
3.5,0.54953099092748,0.4592827251075,NaN,NaN,NaN,0.575927929454115
