t,IPR_A_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,-0.0345298399330588,-0.0108995874411541,0.982260920605656,0.999511880859969,0.989020143288397,1.05680217487674
0.15,0.707503320085106,0.0459989155705953,NaN,NaN,NaN,NaN
0.2,NaN,NaN,0.917759276108531,NaN,0.210446244468148,0.87747676489026
0.25,NaN,NaN,NaN,1.00166307341451,NaN,NaN
0.35,0.725501125464086,0.131973343309665,NaN,NaN,NaN,NaN
0.4,NaN,NaN,1.09134149696191,NaN,NaN,NaN
0.45,NaN,NaN,NaN,NaN,0.29403806577254,0.745546448080721
0.5,NaN,0.182546044009362,NaN,0.934245633807057,NaN,NaN
0.55,0.6458791192838,NaN,NaN,NaN,NaN,NaN
0.65,NaN,NaN,0.809230100457623,NaN,NaN,NaN
0.7,NaN,0.219464781776049,NaN,NaN,0.395457104980001,0.734548466624795
0.8,0.59680372510844,NaN,NaN,0.990046578360928,NaN,NaN
0.9,NaN,NaN,0.869503704460023,NaN,NaN,NaN
0.95,NaN,0.273687737360402,NaN,NaN,0.383349453600798,0.753920606796149
1,0.603661615854147,0.26207121348982,0.865103005507977,0.965420184855163,NaN,0.699238107030806
1.5,0.538615911093115,0.290237907243022,0.908266312338383,0.911083901272791,0.463847705435117,0.869555472359096
2,NaN,0.282538086498196,1.01350559349996,1.09461176428894,0.43185304030447,0.714242899386843
2.5,NaN,NaN,NaN,NaN,NaN,0.725674237240644
3,NaN,NaN,NaN,1.04714517122553,NaN,0.697614264565453
3.5,NaN,NaN,NaN,0.956616419317405,NaN,0.69393707059903
4,NaN,NaN,NaN,0.918712274518679,NaN,0.778146507188449
