t,IPR_A_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.00657114414799391,0.00481749437417882,1.00069000530325,0.996557479355543,0.986074361007925,0.934557091049619
0.15,NaN,NaN,NaN,NaN,NaN,1.10459387620905
0.2,0.424709611486962,NaN,NaN,0.759989847726388,0.567913809958729,NaN
0.25,NaN,NaN,0.630221659674083,NaN,NaN,NaN
0.35,0.342945435948479,0.0425464237185359,NaN,0.806213091289578,0.785596391277175,1.02170823732928
0.45,NaN,NaN,0.602435270513956,NaN,NaN,NaN
0.55,0.305920637794348,NaN,NaN,0.705957232247234,0.646453532928812,1.05312380355279
0.75,NaN,0.0561934092890888,0.580865484028101,0.768722258888324,NaN,0.87477878632479
0.8,0.308345095566226,NaN,NaN,NaN,0.697780464623647,NaN
1,0.320186836820454,0.0555910464671215,0.570897142667632,0.852925360169568,0.669131166358837,0.907692501871152
1.5,0.291889964816329,0.0628059196804088,0.547869583970378,0.808657682617657,0.740762087191459,0.924598523498332
2,0.295830529021502,0.0703212086869187,0.604455498630933,0.881308011395572,0.714105470931037,NaN
2.5,0.284662919765458,0.064243670543601,NaN,0.768916304951615,0.698784983150701,NaN
3,0.332582956987374,0.0705338716596919,NaN,0.721157216795726,0.704506679044203,NaN
3.5,NaN,0.0660355660278846,NaN,NaN,NaN,NaN
4.5,NaN,0.0674677596025066,NaN,NaN,NaN,NaN
5.5,NaN,0.0716632305069914,NaN,NaN,NaN,NaN
6.5,NaN,0.0685405158241377,NaN,NaN,NaN,NaN
