t,IPR_A_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.0239862451557683,-0.0103165792711677,1.01271276645423,1.07607800467038,0.974593276154267,1.05851077616109
0.15,NaN,NaN,NaN,NaN,NaN,0.880286245476086
0.2,0.60946640091143,NaN,0.811322161429546,NaN,0.326070972029603,NaN
0.25,NaN,NaN,NaN,0.881656950622056,NaN,NaN
0.3,NaN,NaN,NaN,NaN,NaN,0.934453584052089
0.35,NaN,0.0941158718795594,NaN,NaN,NaN,NaN
0.4,NaN,NaN,0.765848549642372,NaN,0.517021472879911,NaN
0.45,0.527116920776614,NaN,NaN,NaN,NaN,NaN
0.5,NaN,NaN,NaN,0.901930349450443,NaN,0.879153362331981
0.6,NaN,NaN,NaN,NaN,0.505426637510089,NaN
0.65,NaN,NaN,0.713869117456869,NaN,NaN,NaN
0.7,0.516796309564927,NaN,NaN,NaN,NaN,0.917666796497385
0.75,NaN,0.126827464481645,NaN,NaN,NaN,NaN
0.8,NaN,NaN,NaN,0.90752758973604,NaN,NaN
0.85,NaN,NaN,NaN,NaN,0.524498200937903,NaN
0.9,NaN,NaN,0.655491175111064,NaN,NaN,0.843090707559275
0.95,0.516836750158399,NaN,NaN,NaN,NaN,NaN
1,NaN,0.140241634773011,0.737726667184679,0.974688719544001,0.53128713688837,0.869331147485988
1.5,0.471494786485002,0.161307361955918,0.870885164171983,0.928768282763578,0.56820097245127,0.762309122905022
2,0.43066108461951,0.17883996878126,0.704803476856728,0.937208200466323,0.538000645108836,NaN
2.5,NaN,0.174389048319263,NaN,NaN,NaN,NaN
3.5,NaN,0.178162737486043,NaN,NaN,NaN,NaN
