t,IPR_A_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.0205616046358319,0.0358386325598686,1.09105591080983,0.984556385713811,0.981003111673932,0.972655481597426
0.15,0.794786483455718,0.123175207202184,NaN,1.12796440772495,0.124586227957591,NaN
0.25,NaN,NaN,NaN,NaN,NaN,0.786920527220024
0.3,NaN,0.194924322832002,NaN,0.977987902538996,NaN,NaN
0.35,0.731055787174001,NaN,0.990679834614224,NaN,0.270737884126705,NaN
0.45,NaN,0.274933898202558,NaN,1.01680211403602,NaN,NaN
0.55,0.705046618901695,NaN,NaN,NaN,0.364471079772683,0.626105651260472
0.65,NaN,0.360664666085491,NaN,0.930201451757581,NaN,NaN
0.7,0.614418715357942,NaN,NaN,NaN,NaN,NaN
0.75,NaN,NaN,0.864283273209329,NaN,0.383648313491266,NaN
0.85,NaN,0.44751188380207,NaN,1.08575532863427,NaN,0.624060192701974
0.95,0.51899635736027,NaN,NaN,NaN,0.41822634740521,NaN
1,0.535313558372195,0.426575467713854,1.06211208758029,0.925939694310714,0.485355623095217,0.582226523576833
1.5,0.534531752729522,0.449702683284056,1.05668916182963,0.969853086210061,0.548146018010991,0.513343029297249
2,0.535388993973505,0.446861124628927,1.01147041388014,1.08897200926478,0.48154128469763,0.638840961599048
2.5,0.548689560530053,0.480980001236658,0.940568499920095,0.897790981706145,0.451674037332845,0.516453629522581
3,0.46123309584347,0.481192486243299,NaN,NaN,NaN,0.55850440577948
3.5,0.540165663157381,NaN,1.09145188023925,NaN,0.510036485477538,0.608508808556366
4,NaN,NaN,0.950831973854352,NaN,NaN,NaN
4.5,NaN,NaN,NaN,NaN,NaN,0.484256382125892
5,NaN,NaN,1.05684127359738,NaN,NaN,NaN
6.5,NaN,NaN,1.01057159875382,NaN,NaN,NaN
