t,IPR_A_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.0244093883450969,-0.00168523681853,1.13735665440863,1.04532639372685,1.00532889203237,1.04038347437086
0.15,NaN,NaN,NaN,NaN,0.363663184925089,NaN
0.2,0.678252040779462,NaN,1.01515601321925,0.803191040976482,NaN,0.973957084503403
0.35,NaN,0.1300899296046,NaN,0.834313505973029,0.30349938333699,NaN
0.4,NaN,NaN,1.06444506084059,NaN,NaN,NaN
0.45,0.681575886337241,NaN,NaN,NaN,NaN,0.798031315200022
0.55,NaN,NaN,NaN,1.03236726818313,0.356498554875626,NaN
0.65,0.648671110445308,NaN,0.881558589728255,NaN,NaN,0.73216123326887
0.75,NaN,0.237819470703802,NaN,NaN,NaN,NaN
0.8,NaN,NaN,NaN,0.909341472921166,0.369522779647288,NaN
0.9,NaN,NaN,0.910566561043245,NaN,NaN,NaN
0.95,0.535629915922403,NaN,NaN,NaN,NaN,0.687828395629566
1,NaN,0.230172373406552,0.927381547500348,1.04006401451596,0.428358793961049,0.701513775249112
1.5,0.579805523150407,0.26638269379232,0.782595372290615,0.900935549517827,0.458830797298948,0.733300788029799
2,0.488397914496895,0.306098282217514,0.932188343321993,NaN,NaN,0.682380203594413
2.5,NaN,0.291713021752407,NaN,NaN,NaN,NaN
3.5,NaN,0.288720226123188,NaN,NaN,NaN,NaN
