t,IPR_A_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.0378398571045001,0.00191472484057968,0.996085155335776,1.04812686915856,0.999421455206682,0.958764832515836
0.15,NaN,NaN,NaN,NaN,0.204697558260755,NaN
0.2,0.775419448862718,0.09493452003766,0.983236046934923,0.923385825922512,NaN,0.972510553455539
0.3,NaN,NaN,NaN,NaN,0.31926033077421,NaN
0.4,0.625465432597395,NaN,NaN,0.94507577453017,NaN,NaN
0.45,NaN,0.177276419238095,0.884016537020354,NaN,0.347910761072783,0.846093212471378
0.6,NaN,NaN,NaN,NaN,0.399976853969802,NaN
0.65,0.628246633985237,0.222104484147763,0.880208407606606,0.926401135283793,NaN,NaN
0.7,NaN,NaN,NaN,NaN,NaN,0.767490507746211
0.75,NaN,NaN,NaN,NaN,0.430559989087824,NaN
0.9,0.632453596094948,0.270339160015944,NaN,0.912250597873793,NaN,NaN
0.95,NaN,NaN,0.904101981878921,NaN,0.444165193040092,0.671453220988182
1,0.543761337917375,0.254845404701961,0.871129057877724,0.998074645211118,0.412450598805092,0.739157176523662
1.5,0.5749691139493,0.27669925897892,0.869062677855634,0.816336957682432,0.435678353498121,0.70806631299162
2,0.549673071252347,0.283279401398424,0.927638576260793,0.855343309698274,0.438710520226139,0.751750883612463
2.5,0.555358801420241,0.293562094218277,NaN,0.973469154794752,0.494614833358112,0.720120854151416
3,0.554479243406543,0.26859435620304,NaN,NaN,0.420436160106802,NaN
3.5,0.593637743523766,NaN,NaN,0.977155834179372,NaN,0.648703021136919
4,NaN,0.28609267672439,NaN,NaN,NaN,0.627420532877961
