t,IPR_O_Obs,IPR_I1_Obs
0,-0.00188122654746587,7.09555488646269e-09
0.2,0.049519061679553,NaN
0.25,NaN,8.16427444956967e-07
0.4,0.0386729865655098,NaN
0.55,NaN,5.18271614688299e-07
0.6,0.032543775543003,NaN
0.8,0.0298948524299688,NaN
0.85,NaN,3.38080566438426e-07
1,0.0308041399440028,2.46751647238802e-07
1.5,0.0274885383348258,1.06115859025497e-07
2,0.0295027520703605,4.46382906094182e-08
2.5,0.0307263828210576,3.14351937838609e-08
3,0.0289775263535488,NaN
3.5,NaN,-2.50667986865633e-08
4,NaN,3.08777299081681e-08
4.5,NaN,9.91635826456679e-09
5.5,NaN,-2.34858425720186e-08
