t,IPR_O_Obs,IPR_I1_Obs
0,-0.006608960646002,-4.46293833774221e-09
0.15,0.0487532451299901,NaN
0.3,NaN,1.32062542735525e-06
0.35,0.0417207465895652,NaN
0.55,0.032934034975763,NaN
0.65,NaN,7.77136351381284e-07
0.75,0.0284323785618976,NaN
1,0.0342753433988785,4.49897348624434e-07
1.5,0.0284204336049904,2.52460261639852e-07
2,0.0289622289813716,1.08933937055218e-07
2.5,0.0272711189577072,3.95938198468096e-08
3,0.0256216288295846,NaN
3.5,NaN,2.32755465205735e-08
4,NaN,2.65076337916159e-08
4.5,NaN,-2.50392492681434e-08
5.5,NaN,-3.23078424923124e-08
