t,IPR_O_Obs,IPR_I1_Obs
0,-4.54825183821807e-05,7.87680614082005e-09
0.2,0.00200951480310733,NaN
0.3,NaN,5.06740832923301e-07
0.35,0.00140029526074147,NaN
0.55,0.00117184194370636,NaN
0.6,NaN,3.14137793113569e-07
0.8,0.00104675425454708,NaN
0.95,NaN,1.95398540683109e-07
1,0.00116663012874539,NaN
1.5,0.00117395630208049,9.10366727330826e-08
2,0.00103873820362395,2.51060287800495e-08
2.5,0.00102824862750866,2.85654186907425e-08
3,0.000989782254288707,NaN
3.5,NaN,1.27131652629059e-08
4,NaN,3.64850480738687e-09
5,NaN,-4.55511999653052e-10
