t,IPR_O_Obs,IPR_I1_Obs
0,-0.000906205661530669,3.1916876935673e-09
0.2,0.0456315283989647,NaN
0.3,NaN,3.61006922547937e-07
0.4,0.0336117210256274,NaN
0.55,NaN,2.33264071431269e-07
0.6,0.0266129513566443,NaN
0.85,0.0304029929434233,NaN
0.9,NaN,1.63109610407111e-07
1,0.0300864823376104,1.33348279821042e-07
1.5,0.0304154586645824,5.14526466407022e-08
2,0.0277019799869598,3.51653061702415e-08
2.5,0.0260456695219849,1.43855431477456e-08
3,0.0327894098258209,4.3391037742164e-09
4,NaN,7.23312330846025e-09
5,NaN,-2.647407916071e-10
