t,IPR_O_Obs,IPR_I1_Obs
0,0.000416311146335141,-5.31855283873091e-09
0.25,0.013708545858117,NaN
0.3,NaN,4.69811470108436e-07
0.55,0.00877251736078841,NaN
0.65,NaN,2.69646447581232e-07
0.8,0.00812546362221135,NaN
1,0.00806050794337146,1.52312095412069e-07
1.5,0.0073368968903682,6.78547813291659e-08
2,0.00727912591129596,3.10347062724615e-08
2.5,0.00762963231314289,NaN
3,0.00842746151846677,1.64066606321362e-08
3.5,NaN,-6.66749753765779e-09
4,0.00750191259231373,5.73947268242449e-09
5,NaN,-7.34821706668255e-09
6,NaN,-5.70150036355411e-09
