t,IPR_O_Obs,IPR_I1_Obs
0,0.000491392626473415,2.74498454949866e-09
0.2,0.0826801503869395,NaN
0.3,NaN,2.75428740019983e-07
0.4,0.0599090978433573,NaN
0.6,NaN,1.7969113019058e-07
0.65,0.0573287198000369,NaN
0.9,0.0536647940521585,1.10519562613021e-07
1,0.0557879672826512,9.67660850498218e-08
1.5,0.0549782551311404,4.95429732971755e-08
2,0.0508083031443128,1.84104968687023e-08
2.5,NaN,7.80767980259585e-09
3,NaN,1.07249249048893e-08
3.5,NaN,1.35298534427415e-09
4.5,NaN,-1.1756873916376e-09
5,NaN,3.57883751358063e-10
