t,STAT5A_Obs,nucpApB_Obs
0,140.673158910143,0
15,18.8836725414414,NaN
20,NaN,16.5883860908148
35,29.5380722231038,NaN
40,NaN,38.8153312721478
50,30.4268388675579,NaN
60,NaN,46.5476617649913
70,44.0136683777169,NaN
85,NaN,86.5654707087817
90,36.2931954902423,NaN
100,57.503857361563,58.2200950341736
150,49.9115794947127,57.2315902505952
200,83.4687019572844,90.6135170208208
250,49.1351871566833,113.485217062797
300,85.8497763414048,148.395765606719
350,98.8972353014562,94.6786687005175
450,NaN,112.386421259153
