t,IR2in_Obs,Uptake1_Obs
0,-5.85300011223387,-0.680470661658819
8,6.95522391629921,NaN
10,NaN,1.86250421287591
15,21.2478473035136,NaN
20,NaN,1.90478958287925
25,34.4860181341029,NaN
30,NaN,2.54167093562243
35,32.4460723110494,NaN
40,NaN,3.03427895515808
45,25.171168865206,NaN
55,21.4635793251088,4.98816820773384
65,28.4424531574615,NaN
70,NaN,6.00058578365416
80,22.3240781892608,NaN
85,NaN,3.28414608546784
95,27.9466107256697,NaN
100,27.3826812728619,6.43521616397471
150,13.791227116087,7.19721184502841
200,30.0128916320665,7.46087212129916
