t,IR2in_Obs,Uptake1_Obs
0,-281.520746330453,-8.78322340976347
3.5,338.972064353591,NaN
7.5,522.809014759315,NaN
9.5,NaN,74.983639571123
10,404.289054646426,NaN
15,504.83669469061,NaN
20,554.672872827376,48.3417581401602
25,476.4976275464,NaN
30,616.966660934167,79.2782707191897
40,490.035820461627,41.1860226305656
45,397.328080931236,NaN
55,683.694594183949,38.0024729937663
65,572.213345602543,47.90975676118
80,601.557816468265,71.8714517246675
100,NaN,66.4275573749726
150,NaN,110.032042129446
200,NaN,111.307873090155
