t,IR2in_Obs,Compound_1_Obs
0,0.410750414846068,232.066655037607
6.5,NaN,997.080100522967
9,1.74156750338374,NaN
15,NaN,574.539106148998
20,2.91324598168285,658.03414745506
25,2.70610329181656,781.630881399823
35,2.29037647527411,1018.70042060823
40,NaN,1172.04780461609
50,2.69786120116003,546.89310295388
60,2.83149983902869,836.045858309633
70,NaN,971.02346447817
75,2.91248086692994,NaN
80,NaN,733.472842692011
90,2.45514905582469,727.68594014353
100,1.8274177673151,867.666370521493
150,2.09328696149562,948.831438108651
200,2.70717310636598,NaN
