t,STAT_Obs,pSTAT_Obs,pSTAT_pSTAT_Obs,nSTAT1_Obs,nSTAT3_Obs,nSTAT4_Obs
0,0.802152185627629,-0.00012153963174323,-0.00585020154743144,-0.0010647239347947,0.0647907135135996,-0.00115245176161008
3.5,0.55454149465668,NaN,0.184180173738554,NaN,NaN,0.0662175839277813
4,NaN,NaN,NaN,0.149998241138731,NaN,NaN
4.5,NaN,NaN,NaN,NaN,0.0146444521578744,NaN
7,NaN,0.00199920114769947,0.327271632245891,NaN,NaN,NaN
7.5,-0.0385248064692667,NaN,NaN,NaN,NaN,0.0617047739076353
8.5,NaN,NaN,NaN,0.379822449324,0.229784406678966,NaN
10,0.0468211855787643,NaN,0.188794647399518,NaN,NaN,0.161247685457971
15,-0.0949348159596144,0.00612124066195122,0.199182289106005,0.292530328857038,0.242721627400726,0.302703157000194
20,0.0606807185273617,0.00509558856948721,0.201245394083988,0.282779299080147,0.260599117326284,0.251359750143831
25,0.0996969658875815,NaN,NaN,0.287939012646946,0.213202412812921,NaN
30,0.346583946111752,0.00400159728437313,0.160204628138095,0.233205091027289,0.275646231348709,0.253331919552151
35,NaN,NaN,NaN,0.187617236745185,0.262345570188785,0.245226554377225
40,0.55862563820549,0.00231817266550412,NaN,NaN,NaN,NaN
45,0.608270758249009,NaN,NaN,0.0418143835346483,0.146045917042896,NaN
50,NaN,0.000844207576959695,NaN,NaN,NaN,NaN
55,0.929872301029402,NaN,NaN,0.0676060917458073,0.0297836211959597,NaN
60,NaN,0.000697150460524083,NaN,NaN,NaN,NaN
65,0.968400710699701,NaN,NaN,0.0757204739655987,0.0116066537118516,NaN
75,NaN,-0.000318251530229207,NaN,NaN,0.0344220223999052,NaN
80,NaN,NaN,NaN,0.0405226549681838,NaN,NaN
90,NaN,-0.000219947704853604,NaN,NaN,NaN,NaN
100,NaN,0.000418897881118749,NaN,NaN,NaN,NaN
