t,pEGFR_Obs,Akt_Obs,pAkt_Obs
0,224.041327411783,0.00192422655084939,7.23019533295917e-06
150,66752.5581877195,NaN,NaN
300,299660.030718704,NaN,NaN
400,NaN,NaN,0.00454580054561982
500,6656.64614396141,NaN,NaN
550,NaN,0.0362682115536749,NaN
700,133944.307354429,NaN,NaN
800,NaN,NaN,0.00350656966573869
950,26696.4386689558,NaN,NaN
1000,438378.110975073,0.369095902153158,0.0503123016476177
1500,92813.8831682695,0.000712320005450185,0.0390889882392221
2500,NaN,0.0479165965596503,6.29790190767169e-05
3000,NaN,0.278352375198065,4.96946694573583e-05
3500,NaN,NaN,9.04985227894104e-05
4000,NaN,0.0152096638706183,NaN
4500,NaN,0.0516669329646655,0.00140303915994335
5500,NaN,NaN,0.00332104185414018
6000,NaN,0.021315044184094,NaN
7000,NaN,0.31070961967135,NaN
8500,NaN,0.146248333822827,NaN
