t,pEGFR_Obs,Akt_Obs,pAkt_Obs
0,22619.6571848694,0.518173220194211,7.39198388391968e-05
55,7712874.55644547,NaN,NaN
100,2714401.39129208,NaN,NaN
150,112551.539756518,NaN,NaN
250,92107171.0550557,0.211320049691401,NaN
300,254.205676942692,NaN,1.49877565921339
400,4298025.7509404,NaN,NaN
450,145735.641733728,NaN,NaN
550,84216.2700405978,0.0015583827776324,0.0162267120383261
700,174.805824009753,NaN,NaN
850,241183.365462196,1.57082398474248,NaN
900,NaN,NaN,0.00164254399399778
1000,598.876767208067,1.32778846922771,NaN
1500,NaN,5.21200367415838,0.00065808131121474
2000,NaN,0.129124399259992,NaN
2500,NaN,0.0156358048169107,0.0022575747234451
3000,NaN,0.0637355027638153,0.000181681120498186
3500,NaN,0.278713117979379,NaN
4000,NaN,0.00539818876474591,NaN
5000,NaN,0.00137042100150606,NaN
