t,pEGFR_Obs,Akt_Obs,pAkt_Obs
0,68827.6352290025,0.0528086980923163,5.89063034273927e-06
60,1205855373.86847,NaN,NaN
100,3417808.22471472,NaN,NaN
200,22260678.1382078,NaN,NaN
250,7901375.1290819,NaN,0.0539727302446799
300,420573.041462416,NaN,NaN
400,517160.595229617,NaN,NaN
450,NaN,0.046132101454354,NaN
500,356419.304447039,NaN,0.0322979068334886
600,11037872.3143857,NaN,NaN
750,32124.2496813027,NaN,0.00529956196202182
900,1921.42854838925,0.016705921746253,NaN
1000,1184.38093777175,NaN,0.0202373890549546
1500,NaN,0.12846460862018,0.136141873267897
2000,NaN,0.00248755842456985,2.70905865794814e-05
2500,NaN,1.11170514937808,9.41676495425242e-06
3000,NaN,0.00175326378794141,0.000307037247586126
4000,NaN,0.123449703613486,NaN
5000,NaN,0.000821150279138184,NaN
6000,NaN,0.00744466444828957,NaN
7500,NaN,0.632050870241312,NaN
