t,pEGFR_Obs,Akt_Obs,pAkt_Obs
0,263.883693432246,0.146951361460882,0.0010810748475498
150,28387186.6576964,NaN,NaN
300,6031577.28266746,NaN,NaN
400,NaN,NaN,0.016994276882508
450,NaN,0.000140759239700418,NaN
500,43847.8638223524,NaN,NaN
700,483585.044333463,NaN,NaN
850,NaN,NaN,0.000419310141289195
950,3120687.57815517,0.141203103356275,NaN
1000,479354.211446845,NaN,NaN
1500,8986.41033066193,0.143362351031994,0.0011245829952283
2000,NaN,0.0247547260692921,0.000169391703990598
2500,NaN,0.263339357358569,0.000195289159539947
3000,NaN,NaN,0.000556492918834684
3500,NaN,0.00961285398019436,0.00268135302973573
4000,NaN,0.00333413347265758,NaN
4500,NaN,NaN,0.00247544606373066
5000,NaN,0.263001908904869,NaN
5500,NaN,NaN,0.00798333651170662
6000,NaN,0.0237261732885309,NaN
7000,NaN,0.0221668532241738,NaN
8500,NaN,0.406983790017757,NaN
