t,pEGFR_Obs,Akt_Obs,pAkt_Obs
0,1430.5040388951,0.226922746495594,6.0977778984894e-08
45,338979.89227249,NaN,NaN
90,1290294.2622842,NaN,NaN
150,16343582.7929563,NaN,NaN
200,7744220.79041538,NaN,0.0914282652036132
250,24881774.4778669,NaN,NaN
300,1171873.71654509,0.212948024977526,NaN
350,288578.428188475,NaN,NaN
450,14564.8368243947,NaN,0.0117843377399959
550,300294.334129646,NaN,NaN
600,NaN,0.207811188514753,NaN
650,36200.8356927831,NaN,NaN
700,NaN,NaN,0.000211027245693276
800,306784.096543215,NaN,NaN
900,NaN,0.0313733098542465,NaN
1000,NaN,0.200149590517385,3.13764654261723e-05
1500,NaN,0.0377889836305688,0.0383939502679096
2000,NaN,0.0372663480689831,9.82215997877979e-05
2500,NaN,0.0786657347662054,0.000776246940621577
3000,NaN,0.127057641281089,NaN
4000,NaN,0.0909172465581349,NaN
4500,NaN,0.00395797734424896,NaN
