t,pAC_Obs,Csub_Obs,RIIp_2_Obs
0,-0.0896940322380024,0.125573015891777,0.0755877888056643
6,0.156948059996255,NaN,NaN
10,0.0832556493368972,NaN,0.0915008527771078
15,NaN,0.101463999409545,NaN
20,0.130555238422229,NaN,0.0601337239229189
25,-0.186021785951403,NaN,NaN
30,NaN,0.0741331906325074,NaN
35,-0.0180543496834367,NaN,0.0692186161199976
45,-0.05318091354807,0.111588060442114,NaN
50,NaN,NaN,0.0580357733629938
55,0.136817082376529,NaN,NaN
65,NaN,0.246097106494874,NaN
70,0.147680261541062,NaN,0.24367418494314
80,NaN,0.269417414345594,NaN
85,0.283706585483346,NaN,NaN
90,NaN,NaN,0.249996395211951
100,0.014393763031689,0.263377916714687,NaN
150,NaN,0.189514895756907,NaN
200,NaN,0.260406972657697,NaN
250,NaN,0.251670115157287,NaN
300,NaN,0.253995935464656,NaN
350,NaN,0.31044633030153,NaN
