t,pAC_Obs,RIIp_2_Obs,AC_Fsk_Obs
0,0.116666862158081,0.106872521969927,0.0931257284696306
0.15,-0.0504496678568829,NaN,0.429593119179549
0.3,0.0545754128294552,NaN,NaN
0.35,NaN,NaN,0.633696835874951
0.45,-0.112208568581134,NaN,NaN
0.55,NaN,NaN,0.605918393389383
0.65,-0.516685810268562,NaN,NaN
0.75,NaN,NaN,0.483428078805225
0.85,-0.149614476166288,NaN,NaN
1,0.0173510273291188,NaN,0.385466199201671
1.5,0.111145236124969,NaN,0.490295461973405
2,NaN,0.101247733877313,NaN
4,NaN,0.178505356778673,NaN
6,NaN,0.204202590863081,NaN
8,NaN,0.301612770226777,NaN
10,NaN,0.300828002327979,NaN
15,NaN,0.28273395277057,NaN
20,NaN,0.263900501201374,NaN
25,NaN,0.264358581984282,NaN
30,NaN,0.337319447987937,NaN
40,NaN,0.214251448279238,NaN
