t,pAC_Obs,Csub_H89_Obs,Rp_cAMPS_Obs,RIIp_2_Obs,AC_Fsk_Obs,pAC_Fsk_Obs
0,0.0632649677887665,-0.115642948394054,0.216607729791654,0.0580928055726663,0.116707576052887,0.18202264049429
3.5,NaN,NaN,-0.0158485907811882,NaN,NaN,0.00196838463409772
4,NaN,NaN,NaN,0.102731671188801,NaN,NaN
4.5,NaN,-0.0244689274532315,NaN,NaN,NaN,NaN
5.5,-0.204918751911123,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,-0.160480844168866,NaN,NaN,0.188825774065355
8,NaN,NaN,NaN,0.101344796060025,NaN,NaN
9,NaN,-0.180686004062382,NaN,NaN,NaN,NaN
10,-0.303991306459713,NaN,-0.145016603996773,0.0812664332053646,NaN,-0.0531077000274346
15,NaN,0.193155444963309,NaN,0.0891666856696185,NaN,0.125882057516177
20,0.241239040651598,-0.0587424040773911,-0.289678842790199,NaN,-0.233724203879558,0.263267465328755
25,-0.288084823996044,NaN,-0.0697277303196869,0.0737798761906773,NaN,NaN
30,NaN,0.0600104409991289,0.0751285928173567,0.0936157321019416,NaN,0.0624933550134933
35,-0.0952457433865136,-0.157317062550275,NaN,NaN,NaN,0.0465576705158794
40,NaN,NaN,NaN,0.0855677162553608,-0.253079033742061,NaN
45,-0.0894299941159795,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,-0.299487113327018,NaN
85,NaN,NaN,NaN,NaN,-0.237964167844218,NaN
100,NaN,NaN,NaN,NaN,-0.20025902989311,NaN
150,NaN,NaN,NaN,NaN,-0.143983229088325,NaN
200,NaN,NaN,NaN,NaN,-0.0279508145320345,NaN
250,NaN,NaN,NaN,NaN,-0.0767759935311149,NaN
300,NaN,NaN,NaN,NaN,-0.22404898394732,NaN
350,NaN,NaN,NaN,NaN,-0.0159416490706169,NaN
450,NaN,NaN,NaN,NaN,0.15205911566035,NaN
