t,pAC_Obs,Csub_Obs,RIIp_2_Obs
0,0.0730501597305758,0.132948644755244,0.0761237003246814
5,-0.301278418248083,NaN,NaN
7.5,NaN,0.179958274260957,NaN
8,NaN,NaN,0.0982141358541738
10,-0.279764481900668,NaN,NaN
15,-0.0259897506192683,0.219436295153405,0.102994361983433
25,-0.103274545563655,0.16644437802686,0.110571531140815
30,0.213674625793489,NaN,NaN
35,NaN,0.220808968068696,0.127793126598823
40,0.0202572903680708,NaN,NaN
45,NaN,0.161686929887061,NaN
50,NaN,NaN,0.134539777679293
60,NaN,0.196552575703501,NaN
65,NaN,NaN,0.105524204099427
