t,pAC_Obs,RIIp_2_Obs,AC_Fsk_Obs
0,-0.161696377814813,0.086175466365547,0.00322953169045209
6,-0.13207131922541,NaN,NaN
9,NaN,NaN,0.000694875586559776
10,0.132277595031726,NaN,NaN
15,NaN,0.0754304697111014,NaN
20,-0.317593123304965,NaN,-0.00507344866752001
25,-0.0366494843342139,NaN,NaN
30,NaN,NaN,-0.000303786459650375
35,-0.0702175354162669,0.0651980744591574,NaN
40,-0.242588414963384,NaN,0.00981481218655117
50,0.0514533112710975,NaN,NaN
55,NaN,0.0628086990321148,-0.00202471956851818
65,0.0295314045692241,NaN,NaN
70,NaN,NaN,0.0895670830645508
75,-0.181530374455561,0.186267422632427,NaN
90,NaN,NaN,0.0845811596470747
95,-0.0485989861501874,0.164874937918912,NaN
100,-0.0181077469582345,0.193256484497687,0.0858281421935713
150,NaN,0.200198327040087,NaN
200,NaN,0.194329898613127,NaN
250,NaN,0.17435734463242,NaN
300,NaN,0.20812339212807,NaN
350,NaN,0.152323071408724,NaN
450,NaN,0.13924550365359,NaN
