t,pAC_Obs,Csub_Obs,RIIp_2_Obs
0,0.180427672782085,0.169503392239571,0.125506481319323
4,-0.0509352052740764,NaN,NaN
4.5,NaN,NaN,0.215360269590052
7,NaN,0.354711233392993,NaN
8.5,-0.421600940671212,NaN,0.22028104535402
15,0.0424567233705634,0.356684090789669,0.281669023596898
20,0.0502133197961206,0.317929209024094,0.226426037753018
25,-0.130730047834533,NaN,0.232018289614773
30,NaN,0.294390220030691,0.287320297517352
35,0.112883138090754,NaN,0.320815340324178
40,NaN,0.467385952990174,NaN
45,NaN,NaN,0.177702516989115
55,NaN,0.38098334054676,0.311648804140274
65,NaN,NaN,0.203917426683689
