t,pAC_Obs,Csub_Obs,RIIp_2_Obs,AC_Fsk_Obs,pAC_Fsk_Obs,RIIp_Sp8_Br_cAMPS_2_Obs
0,0.121071133963688,0.039920578823255,0.0927465218033769,0.0112467860725261,0.169299029103871,-0.00106076810034723
4,NaN,0.202709507903269,NaN,NaN,NaN,NaN
5,NaN,NaN,0.284291960239221,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,0.00868190634065247
8,NaN,0.318791765770509,NaN,0.118134444552008,NaN,NaN
10,NaN,0.238157782241701,0.246283675214299,NaN,0.174694936310534,NaN
15,-0.121070693881374,0.348652947034196,0.292463639336006,0.267283328149957,NaN,0.00467374559961414
20,NaN,0.338632311823727,0.318884645780194,NaN,0.271606798312238,0.00580079211721746
25,-0.00477898109659626,0.296133706442423,NaN,-0.249461784263568,NaN,NaN
30,NaN,NaN,0.282626825625603,NaN,NaN,0.00455851696053467
35,NaN,0.27925015676126,0.225592510387407,0.24738188016085,-0.120450802114123,0.00428134911975866
40,-0.130404038408751,0.370658621865789,NaN,NaN,NaN,NaN
45,NaN,NaN,0.31147692842495,0.0964023528876448,NaN,0.00515222683533234
50,NaN,0.273698170115998,NaN,NaN,0.0738465333608632,NaN
55,NaN,NaN,0.196593264207265,NaN,NaN,NaN
60,0.0571069889048386,0.300215123313728,NaN,0.214071592056855,NaN,0.00352172041991379
65,NaN,NaN,0.295736301476215,NaN,-0.0840448045282745,NaN
70,NaN,NaN,NaN,NaN,NaN,0.00466381646112481
75,NaN,NaN,NaN,-0.134530912635433,NaN,NaN
80,0.263480572038726,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,-0.0815113898326247,0.052639747511049,0.00438362190580782
100,0.00443036598599386,NaN,NaN,0.0948328456634546,NaN,0.00452520971481634
150,-0.108514493156565,NaN,NaN,0.216704340534288,NaN,NaN
200,-0.0984466058564572,NaN,NaN,NaN,NaN,NaN
