t,pAC_Obs,Csub_H89_Obs,RIIp_2_Obs
0,0.0564872865385569,-0.00388809573053685,0.0745661310040489
20,NaN,0.0499913920368346,NaN
25,0.0341364054247422,NaN,0.0650500472387546
45,NaN,0.108618697912838,0.0638785729309985
55,-0.0311503312099443,NaN,NaN
65,NaN,0.143122368860319,NaN
70,NaN,NaN,0.0847106934044992
85,-0.239592837695748,NaN,NaN
90,NaN,0.18978889298993,NaN
100,0.0469364054571854,0.207233368203467,0.0817780631237374
150,-0.265922007561222,0.223915259554335,0.06700997212673
200,0.194758435610069,0.199512188293777,0.0605444388735642
250,NaN,0.234784132937303,0.101985188519024
300,-0.0232772868813418,0.261920791995043,0.0756887466379788
350,-0.196405118590635,0.326448047965683,0.0628958996827279
450,NaN,0.306345088135705,0.0468390060714932
