t,pAC_Obs,Csub_Obs,RIIp_2_Obs
0,0.0701083384098729,0.120747097137043,0.0989541064194238
3.5,0.0775796181547412,NaN,NaN
5,NaN,NaN,0.0412366107267948
5.5,NaN,0.0819675499240904,NaN
7,-0.0894961458485738,NaN,NaN
10,-0.240085400152043,0.19704556264046,0.0791896260332733
15,-0.160107442169996,0.371810274466708,0.334680027154911
20,0.0893324782431956,NaN,0.232219550280924
25,-0.179808292697165,0.391357474761497,NaN
30,-0.270402132503979,0.435370969167562,0.306682952963784
35,0.0465037393483933,NaN,0.299915009210298
40,NaN,0.366497911185048,NaN
45,-0.123319649572943,NaN,0.237883487883946
50,NaN,0.322164620495698,NaN
55,-0.207016904671974,NaN,0.227147437169781
60,NaN,0.314820897634019,NaN
65,0.0538884437559751,NaN,0.251150705320439
75,NaN,0.274868896111073,NaN
80,NaN,NaN,0.249927880201607
